Company,Job Title,Industry,Location,Employment Type,Experience Level,Remote Flexibility,Salary (Annual),Currency,Years of Experience,Job Satisfaction Score (1-10),Tech Stack,Perks,Last Promotion (Years Ago)
Microsoft,Data Analyst,Media,Austin,Part-time,Mid,Remote,155200.11,AUD,1.3,7,"Python, SQL",Stock Options,0.47
Apple,Data Scientist,Retail,San Francisco,Part-time,Lead,Remote,106365.54,INR,12.1,1,"JavaScript, React",Gym Membership,1.7
Amazon,Software Engineer,Healthcare,San Francisco,Full-time,Lead,Remote,91026.49,INR,9.1,1,"C#, .NET",Gym Membership,2.68
Tesla,Data Analyst,Retail,Austin,Contract,Mid,Onsite,41824.38,EUR,11.6,2,"JavaScript, React",Stock Options,1.9
Adobe,DevOps Engineer,Healthcare,New York,Contract,Senior,Remote,143929.78,USD,9.1,3,"Go, Kubernetes",Health Insurance,0.82
Tesla,Product Manager,Media,Chicago,Part-time,Senior,Remote,68938.17,USD,12.1,7,"Java, Spring",Stock Options,1.05
IBM,DevOps Engineer,Healthcare,New York,Internship,Lead,Onsite,108004.81,INR,2.1,9,"Go, Kubernetes",Flexible Hours,3.74
Tesla,Data Scientist,Education,Austin,Part-time,Mid,Onsite,113897.69,USD,12.9,3,"C#, .NET",Health Insurance,3.96
Tesla,Data Scientist,Tech,Seattle,Internship,Lead,Onsite,72740.4,AUD,12.9,1,"C#, .NET",Stock Options,3.41
Salesforce,Product Manager,Media,Austin,Full-time,Senior,Hybrid,56886.82,USD,14.3,5,"Go, Kubernetes",Health Insurance,2.54
Microsoft,DevOps Engineer,Healthcare,Boston,Part-time,Mid,Hybrid,159626.84,AUD,14.3,9,"Python, SQL",Remote Stipend,1.62
Google,Data Analyst,Healthcare,Boston,Contract,Mid,Remote,70948.17,AUD,14.2,2,"C#, .NET",Gym Membership,4.08
Salesforce,Software Engineer,Finance,Chicago,Internship,Mid,Hybrid,119704.54,AUD,6.3,4,"Go, Kubernetes",Health Insurance,3.56
Tesla,DevOps Engineer,Media,Austin,Internship,Lead,Remote,72143.95,USD,5.1,10,"Go, Kubernetes",Health Insurance,2.94
Google,Data Analyst,Media,Chicago,Full-time,Mid,Remote,183921.4,INR,1.1,4,"Java, Spring",Gym Membership,1.07
Amazon,DevOps Engineer,Retail,Remote,Internship,Mid,Hybrid,167274.49,EUR,1.4,7,"Java, Spring",Gym Membership,2.06
Google,DevOps Engineer,Media,Chicago,Full-time,Entry,Hybrid,153796.31,USD,3.7,4,"Go, Kubernetes",Gym Membership,0.7
Amazon,Product Manager,Education,New York,Full-time,Lead,Onsite,46644.48,AUD,12.5,2,"JavaScript, React",Health Insurance,2.03
Adobe,Software Engineer,Education,San Francisco,Part-time,Lead,Remote,197502.5,INR,13.9,8,"Java, Spring",Gym Membership,3.48
Salesforce,DevOps Engineer,Media,Seattle,Part-time,Mid,Hybrid,67009.15,USD,8.7,9,"Python, SQL",Flexible Hours,0.29
